Numero,Aleacion ,Composicion (at.%),Categoria ,Fabricacion,Fases ,Categoría,Densidad (g/cm3),Dureza (HV),Modulo de Young (GPa),Limite Elastico (Mpa),Esfuerzo ultimo ,Deformacion,Fecha publicacion,DOI
1,Al40Cu15Cr15Fe15Si15,Al41-Cu13-Fe14-Cr16-Si16,LHEA,Induccion al vacio  modelo VIM,Al13Fe4+Ƭ1-AlFeSi+FeSi,BCC + IM,4.5,916,N/A,2994,N/A,N/A,21-abr-18,https://doi.org/10.1016/j.jmrt.2018.06.010
2,Al65Cu5Cr5Si15Mn5Ti5,Al66-Cu6-Cr4-Si13-Mn7-Ti4,LHEA,Induccion al vacio  modelo VIM,Al0.74Mn0.20Si0.06+Al2Cu+Al5Si12Ti7+Al19Mn4,BCC + IM,3.7,889,N/A,2916,N/A,N/A,22-abr-18,https://doi.org/10.1016/j.jmrt.2018.06.010
3,Al60Cu10Fe10Cr5Mn5Ni5Mg5,Al60-Cu11-Fe10-Cr6-Mn5-Ni6-Mg2,LHEA,Induccion al vacio  modelo VIM,Al3Ni2+Al7Cu4Ni+Mg2Cu6Al5 ,AM,4.6,743,N/A,2429,N/A,N/A,23-abr-18,https://doi.org/10.1016/j.jmrt.2018.06.010
4,Al20Li20Mg10Sc20Ti30,Al20-Li20-Mg10-Sc20-Ti30,LHEA,Aleacion Mecánica ,FCC,FCC,2.67,591,N/A,1932,N/A,N/A,03-nov-14,https://doi.org/10.1080/21663831.2014.985855
5,"Al20Li20Mg10Sc20Ti31  w/ N, O","(Al20-Li20-Mg10-Sc20-Ti30)98,21-N0,4-O1,39",LHEA,Aleacion Mecánica + impurezas de N y O,FCC,FCC,2.67,622,N/A,2033,N/A,N/A,03-nov-14,https://doi.org/10.1080/21663831.2014.985855
6,Al20Be20Fe10Si15Ti35,"Al21,4-Be19,6-Fe12-Si13,1-Ti32,8",LHEA,Fusión por arco en vacío,"Fase Laves+Al2(Ti, Fe)+Ti5Si3",FCC+IM,3.91,911,N/A,2976,N/A,N/A,28-feb-17,http://dx.doi.org/10.1007/s11431-017-9073-0.
7,Mg20(MnAlZnCu)80,Mg20-(Mn25-Al25-Zn25-Cu25)80,LHEA,Fundicion por induccion en Argón,Fase HCP+Al-Mn,HCP+IM,4.26,431,13.01,428,428,3.29,04-may-10,http://dx.doi.org/10.4028/www.scientific.net/MSF.650.265.
8,Mg33(MnAlZnCu)67,Mg33-(Mn25-Al25-Zn25-Cu25)67,LHEA,Fundicion por induccion en Argón,Fase HCP+Icosaedric phase+Mg+Mg7Zn3,HCP+IM,3.27,318,12.8,437,437,3.41,04-may-10,http://dx.doi.org/10.4028/www.scientific.net/MSF.650.265.
9,Mg43(MnAlZnCu)57,Mg43-(Mn25-Al25-Zn25-Cu25)57,LHEA,Fundicion por induccion en Argón,Fase HCP+Icosaedric phase+Mg+Mg7Zn4,HCP+IM,2.5,255,13.2,500,500,3.72,04-may-10,http://dx.doi.org/10.4028/www.scientific.net/MSF.650.265.
10,Mg45.6(MnAlZnCu)54.4,"Mg45,6-(Mn25-Al25-Zn25-Cu25)54,4",LHEA,Fundicion por induccion en Argón,Fase HCP+Icosaedric phase+Mg+Mg7Zn5,HCP+IM,2.28,225,11.87,482,482,4.06,04-may-10,http://dx.doi.org/10.4028/www.scientific.net/MSF.650.265.
11,Mg50(MnAlZnCu)50,Mg50-(Mn25-Al25-Zn25-Cu25)50,LHEA,Fundicion por induccion en Argón,Fase HCP+Icosaedric phase+Mg+Mg7Zn6,HCP+IM,2.19,178,11.18,340,400,4.83,04-may-10,http://dx.doi.org/10.4028/www.scientific.net/MSF.650.265.
12,MgMnAlZnCu (Air),"Mg19,1-Mn20,4-Al20,3-Zn19,8-Cu20,4",LHEA,Fundicion por induccion en Argón enfriado aire,Fase HCP+Al-Mn,HCP+IM,4.26,431,13,428,428,3.3,07-jun-11,http://dx.doi.org/10.4028/www.scientific.net/MSF.686.235.
13,MgMnAlZnCu (Water),"Mg19,8-Mn19,4-Al19,8-Zn20,8-Cu20,2",LHEA,Fundicion por induccion en Argón enfriado agua,Fase HCP+Al-Mn,HCP+IM,4.26,449,9.9,437,437,4.4,07-jun-11,http://dx.doi.org/10.4028/www.scientific.net/MSF.686.235.
14,MgMnAlZnCu (Salt),"Mg19,3-Mn19,8-Al20,6-Zn20,2-Cu20,1",LHEA,Fundicion por induccion en Argón enfriado salmuera,Fase HCP+Al-Mn,HCP+IM,4.26,467,8.1,450,450,5.5,07-jun-11,http://dx.doi.org/10.4028/www.scientific.net/MSF.686.235.
