id,aleacion,Al,Cu,Cr,Fe,Si,Mn,Ti,Ni,Mg,Li,Sc,Be,Zn,V,Zr,Ca,Nb,Sn,Ta,Hf,Co,Mo,C,W,Pd,O,Mi,R,B,Y,Ze
1,Al40Cu15Cr15Fe15Si15,40,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Al65Cu5Cr5Si15Mn5Ti5,65,5,5,0,15,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Al60Cu10Fe10Cr5Mn5Ni5Mg5,60,10,5,10,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Al20Li20Mg10Sc20Ti30,20,0,0,0,0,0,30,0,10,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Al20Li20Mg10Sc20Ti31,20,0,0,0,0,0,31,0,10,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Al20Be20Fe10Si15Ti35,20,0,0,10,15,0,35,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Mg20Mn20Al20Zn20Cu20,20,20,0,0,0,20,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Mg33Mn16,75Al16,75Zn16,75Cu16,75",16.75,16.75,0,0,0,16.75,0,0,33,0,0,0,16.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Mg43Mn14,25Al14,25Zn14,25Cu14,25",14.25,14.25,0,0,0,14.25,0,0,43,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Mg45.6Mn13,6Al13,6Zn13,6Cu13,6",13.6,13.6,0,0,0,13.6,0,0,45.6,0,0,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Mg50Mn12,5Al12,5Zn12,5Cu12,5",12.5,12.5,0,0,0,12.5,0,0,50,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Mg20Mn20Al20Zn20Cu20,20,20,0,0,0,20,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Mg20Mn20Al20Zn20Cu20,20,20,0,0,0,20,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Mg20Mn20Al20Zn20Cu20,20,20,0,0,0,20,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Al40Cu15Mn5Ni5Si20Zn15,40,15,0,0,20,5,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Al45Cu15Mn5Fe5Si5Ti5Zn20,45,15,0,5,5,5,5,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Al35Cu5Fe5Mn5Si30V10Zr10,35,5,0,5,30,5,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Al50Ca5Cu5Ni10Si20Ti10,50,5,0,0,20,0,10,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Al25Nb25Ti25V25,25,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Al25,6Cr10,2Nb22,2Ti21,4V20,6",25.6,0,10.2,0,0,0,21.4,0,0,0,0,0,0,20.6,0,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Al20Cr20Nb20Ti20V20,20,0,20,0,0,0,20,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Al21,7Cr25,0Nb18,7Ti17,8V16,8",21.7,0,25,0,0,0,17.8,0,0,0,0,0,0,16.8,0,0,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Al20Li20Mg20Zn20Sn20,20,0,0,0,0,0,0,0,20,20,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Al49,4Li0.5Mg49,4Zn0.5Sn0.2",49.4,0,0,0,0,0,0,0,49.4,0.5,0,0,0.5,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Al80Li5Mg5Zn5Cu5,80,5,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Al80Li5Mg5Zn5Sn5,80,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Ti60Cu14Ni12Sn4Nb10,0,14,0,0,0,0,60,12,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Ti60Cu14Ni12Sn4Ta10,0,14,0,0,0,0,60,12,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0
