id,aleacion,composicion,categoria,fabricacion,fase,densidad,dureza,modulo_young,limite_elastico,esfuerzo_ultimo,deformacion
1,Al40Cu15Cr15Fe15Si15,Al41-Cu13-Fe14-Cr16-Si16,LHEA,Induccion al vacio  modelo VIM,BCC + IM,4.5,916,NA,2994,NA,NA
2,Al65Cu5Cr5Si15Mn5Ti5,Al66-Cu6-Cr4-Si13-Mn7-Ti4,LHEA,Induccion al vacio  modelo VIM,BCC + IM,3.7,889,NA,2916,NA,NA
3,Al60Cu10Fe10Cr5Mn5Ni5Mg5,Al60-Cu11-Fe10-Cr6-Mn5-Ni6-Mg2,LHEA,Induccion al vacio  modelo VIM,AM,4.6,743,NA,2429,NA,NA
4,Al20Li20Mg10Sc20Ti30,Al20-Li20-Mg10-Sc20-Ti30,LHEA,Aleacion Mecánica,FCC,2.67,591,NA,1932,NA,NA
5,"Al20Li20Mg10Sc20Ti31  w/ N, O","(Al20-Li20-Mg10-Sc20-Ti30)98,21-N0,4-O1,39",LHEA,Aleacion Mecánica + impurezas de N y O,FCC,2.67,622,NA,2033,NA,NA
6,Al20Be20Fe10Si15Ti35,"Al21,4-Be19,6-Fe12-Si13,1-Ti32,8",LHEA,Fusión por arco en vacío,FCC+IM,3.9099999999999997,911,NA,2976,NA,NA
7,Mg20(MnAlZnCu)80,Mg20-(Mn25-Al25-Zn25-Cu25)80,LHEA,Fundicion por induccion en Argón,HCP+IM,4.26,431,13.01,428,428,3.29
8,Mg33(MnAlZnCu)67,Mg33-(Mn25-Al25-Zn25-Cu25)67,LHEA,Fundicion por induccion en Argón,HCP+IM,3.27,318,12.8,437,437,3.4099999999999997
9,Mg43(MnAlZnCu)57,Mg43-(Mn25-Al25-Zn25-Cu25)57,LHEA,Fundicion por induccion en Argón,HCP+IM,2.5,255,13.2,500,500,3.72
10,Mg45.6(MnAlZnCu)54.4,"Mg45,6-(Mn25-Al25-Zn25-Cu25)54,4",LHEA,Fundicion por induccion en Argón,HCP+IM,2.2800000000000002,225,11.870000000000001,482,482,4.06
11,Mg50(MnAlZnCu)50,Mg50-(Mn25-Al25-Zn25-Cu25)50,LHEA,Fundicion por induccion en Argón,HCP+IM,2.19,178,11.18,340,400,4.83
12,MgMnAlZnCu (Air),"Mg19,1-Mn20,4-Al20,3-Zn19,8-Cu20,4",LHEA,Fundicion por induccion en Argón enfriado aire,HCP+IM,4.26,431,13,428,428,3.3
13,MgMnAlZnCu (Water),"Mg19,8-Mn19,4-Al19,8-Zn20,8-Cu20,2",LHEA,Fundicion por induccion en Argón enfriado agua,HCP+IM,4.26,449,9.9,437,437,4.4
14,MgMnAlZnCu (Salt),"Mg19,3-Mn19,8-Al20,6-Zn20,2-Cu20,1",LHEA,Fundicion por induccion en Argón enfriado salmuera,HCP+IM,4.26,467,8.1,450,450,5.5
15,Al40Cu15Mn5Ni5Si20Zn15,Al36-Cu12-Si34-Mn6-Zn7-Ni5,LHEA,Horno eléctrico de inducción de vacío VIM,FCC+BCC+IM,4.08,887,NA,2900,NA,NA
16,Al45Cu15Mn5Fe5Si5Ti5Zn20,Al38-Cu15-Si16-Mn4-Zn10-Fe6-Ti11,LHEA,Horno eléctrico de inducción de vacío VIM,FCC+BCC+IM,5.07,744,NA,2432,NA,NA
17,Al35Cu5Fe5Mn5Si30V10Zr10,Al38-Cu6-Si32-Mn5-Fe5-Zr8-V6,LHEA,Horno eléctrico de inducción de vacío VIM,BCC + IM,3.96,751,NA,2455,NA,NA
18,Al50Ca5Cu5Ni10Si20Ti10,Al56-Cu7-Si21-Ni7-Ti4-Ca5,LHEA,Horno eléctrico de inducción de vacío VIM,FCC+BCC+IM,3.3299999999999996,437,NA,1429,NA,NA
19,AlNbTiV,"Al27,6-Nb24,1-Ti24,8-V23,5",LHEA,Fusión por arco en vacío,BCC,5.5,NA,NA,1000,1280,5.2
20,AlCr0.5NbTiV,"Al25,6-Cr10,2-Nb22,2-Ti21,4-V20,6",LHEA,Fusión por arco en vacío,BCC,5.64,NA,NA,1300,1430,0.8
21,AlCrNbTiV,"Al22,9-Cr18,8-Nb20,2-Ti19,3-V18,8",LHEA,Fusión por arco en vacío,BCC+IM,5.76,NA,NA,1550,1570,0.4
22,AlCr1.5NbTiV,"Al21,7-Cr25,0-Nb18,7-Ti17,8-V16,8",LHEA,Fusión por arco en vacío,BCC+IM,5.859999999999999,NA,NA,1700,1700,0
23,AlLiMgZnSn,Al20-Li20-Mg20-Zn20-Sn20,LHEA,Fundicion por induccion en Argón,FCC+BCC+IM,4.23,NA,NA,600,615,1.2
24,AlLi0.5MgZn0.5Sn0.2,"(Al50-Mg50)98,8-Li0,5-Zn0,5-Sn0,2",LHEA,Fundicion por induccion en Argón,FCC+BCC+IM,3.22,NA,NA,NA,546,NA
